,features,price,prodajalec,title,url
0,"                            ,      Starost:              novo      ,    Prevoženi km:                   ,      Motor:              132 kW             (179 KM),  1368  ccm      ,      Gorivo:              bencinski motor      ,      Menjalnik:              ročni menjalnik (5 pr.)      ,      Oblika:              kombilimuzina / hatchback      ,      Št.vrat:              3 vr.      ,      Barva:              zelena      ,      Notranjost:              črna / delno usnje      ,      Interna številka:                    ,      VIN / številka šasije:              ZFABF13H5MJF19862      ,      Kraj ogleda:              ,       ,        Podvozje:    ,                                            lahka - ALU platišča:Supersport matt black 17                            ABS zavorni sistem            ESP elektronski program stabilnostiASR regulacija zdrsa pogonskih koles                       ,        Varnost:    ,                                    prednje (dnevne) LED lučimeglenketretja zavorna lučkodno varovan vžig motorjanadzor zračnega tlaka v pnevmatikah                        ,        Notranjost:    ,                        štev. sedežev: 4        usnje             (delno usnje)ALU dodatki v notranjostišportni sedežihladilni predal12V vtičnica                       ,        Udobje:    ,                        klimatska naprava: avtomatskaelektrični pomik prednjih stekelzunanja ogledala: el. nastavljivacentralno zaklepanjecentralno zaklepanje + daljinsko upravljanjeelektrični paketvolan: nastavljiv po višiniservo volanvolan: multifunkcijskivolan: športnivolanski obroč oblečen v usnjesistem Start-Stop                    ,        Multimedia:    ,                                    avtoradio:Uconnect 7 - Bluetooth&amp;USB&amp;CarPlay                        USB priključek (iPod, HD, ...)potovalni računalnikkomunikacijski paketBluetooth vmesnikTouch screenApple CarPlayAndroid Auto                    ,        Uporabnost:    ,                        Isofix sistem za pritrditev otr.sedežapomoč pri parkiranju: zadnji senzorjipomoč pri speljevanju v klanec                    ,        Stanje:    ,                        slovensko poreklonavodila za uporabo v SLO jezikuvozilo je novo                    ",    32.570 €    ,"              AVTO TRIGLAV d.o.o., Ljubljana, PSC Ljubljana                                                                                                                                                                          ",Abarth 595 ,https://www.avto.net/Ads/details.asp?id=16470938&display=Abarth%20595%201.4%20T-Jet%2016v%20180%2070th%20Anniversario
1,"                            ,      Starost:              rabljeno      ,      Prva registracija:                   2014 / 4                        ,      Leto proizvodnje:                   2014            ,    Prevoženi km:            2650       ,      Motor:              6 kW                  ,      Gorivo:              elektro pogon      ,      Baterija / kapaciteta:                  0 kWh      ,      Komb. el. poraba:                  0 kWh /  100 km      ,      Doseg na elektriko:                  0 km      ,      Menjalnik:              avtomatski menjalnik      ,      Oblika:              kombilimuzina / hatchback      ,      Št.vrat:              2 vr.      ,      Barva:              rdeča      ,      Notranjost:              svetlo siva / blago      ,      Kraj ogleda:              1294 Višnja Gora      ,        Podvozje:    ,                                            lahka - ALU platišča                                       ,        Notranjost:    ,                        štev. sedežev: 2        12V vtičnica                       ,        Udobje:    ,                        električni pomik prednjih stekelcentralno zaklepanje + daljinsko upravljanje                    ,        Multimedia:    ,                                    avtoradio                                            ,        Stanje:    ,                        2. lastnik                    ",    2.990 €    ,                                   TELEFON:                                                        ,AEV - ,https://www.avto.net/Ads/details.asp?id=14987807&display=AEV%20-%20Gringo
2,"                            ,      Starost:              novo      ,    Prevoženi km:                   ,      Motor:              118 kW             (160 KM),  1368  ccm      ,      Gorivo:              bencinski motor      ,      Menjalnik:              ročni menjalnik (5 pr.)      ,      Oblika:              kombilimuzina / hatchback      ,      Št.vrat:              3 vr.      ,      Barva:              temno siva metalik      ,      Notranjost:              črna / blago      ,      Interna številka:                    ,  Status zaloge:                  še NI NA ZALOGI, predviden rok dobave do 7 dni             ,        Podvozje:    ,                                            lahka - ALU platišča                            ABS zavorni sistem            ESP elektronski program stabilnostiASR regulacija zdrsa pogonskih kolesšportno podvozje                       ,        Varnost:    ,                                    6 x zračna vreča / Airbagsenzor za dežLED žarometiprednje (dnevne) LED lučizadnje LED lučimeglenketretja zavorna lučalarmna napravablokada motorjakodno varovan vžig motorjanadzor zračnega tlaka v pnevmatikahRun-Flat pnevmatike                        ,        Notranjost:    ,                        štev. sedežev: 4        ambientna osvetlitev notranjostiALU dodatki v notranjostikrom dodatki v notranjostišportni sedežisedeži: nastavitev po višinisedeži: paket Memory                       ,        Udobje:    ,                        klimatska napravazatemnjena / tonirana steklaelektrični pomik prednjih stekelzunanja ogledala: el. nastavljivazunanja ogledala: ogrevanjecentralno zaklepanjecentralno zaklepanje + daljinsko upravljanjeelektrični paketvolan: nastavljiv po višinivolan: nastavljiv po globiniservo volanvolan: multifunkcijskivolan: športnivolanski obroč oblečen v usnje                    ,        Multimedia:    ,                                    avtoradio                                    Hi-Fi ozvočenje                    USB priključek (iPod, HD, ...)potovalni računalnik                    ,        Uporabnost:    ,                        deljiva zadnja klop 1/2 - 1/2Isofix sistem za pritrditev otr.sedeža                    ,        Stanje:    ,                        vozilo je novo                    ",    23.350 €    ,"              MILMAT d.o.o.         Prodaja, odkup in najem vozil ulica Vinka Vodopivca 8         Nova Gorica                                                                                                ","Abarth 595  
        276,00 
        ",https://www.avto.net/Ads/details.asp?id=14206637&display=Abarth%20595%201.4%20Turbo%20T-Jet%20160%20CV%20Pista
3,"                            ,      Starost:              rabljeno      ,      Prva registracija:                   2001 / 6                        ,      Leto proizvodnje:                   2001            ,    Prevoženi km:            54000       ,      Tehnični pregled:                   2022 / 5            ,      Motor:              4 kW             (5 KM)      ,      Gorivo:              diesel motor      ,      Menjalnik:              avtomatski menjalnik      ,      Oblika:              limuzina      ,      Št.vrat:              3 vr.      ,      Barva:                    ,      Notranjost:              svetlo siva / blago      ,      Interna številka:                    ,      Kraj ogleda:              ,       ,        Varnost:    ,                                    tretja zavorna lučblokada motorja                        ,        Notranjost:    ,                        štev. sedežev: 2        12V vtičnica                       ,        Udobje:    ,                        centralno zaklepanjecentralno zaklepanje + daljinsko upravljanje                    ,        Multimedia:    ,                                    avtoradio                                            ,        Stanje:    ,                                            ",    1.699 €    ,              Mikro Avto s.p.                                                                                            ,Aixam - ,https://www.avto.net/Ads/details.asp?id=16472773&display=Aixam%20-%20400%20Evolution
4,"                            ,      Starost:              rabljeno      ,      Prva registracija:                   2013 / 6                        ,      Leto proizvodnje:                   2013            ,    Prevoženi km:            90100       ,      Tehnični pregled:                   22 / 6            ,      Motor:              203 kW             (276 KM),  1998  ccm      ,      Gorivo:              bencinski motor      ,      Menjalnik:              avtomatski menjalnik      ,      Oblika:              limuzina      ,      Št.vrat:              4 vr.      ,      Barva:              zlata metalik      ,      Notranjost:              kremno beige / usnje      ,      Kraj ogleda:              4240 Radovljica      ,                     Vprašajte prodajalca za VIN in pridobite CARFAX poročilo o zgodovini vozila.                                 ,                            ,            Kombinirana vožnja:                        ni podatka                                ,            Izvenmestna vožnja:                        ni podatka                                ,            Mestna vožnja:                        ni podatka                                ,            Emisijski razred:                        ni podatka                                ,            Emisija CO2:                        ni podatka                                ,        Podvozje:    ,                                            lahka - ALU platišča                            ABS zavorni sistem                        BAS pomoč pri zaviranju            ESP elektronski program stabilnostištirikolesni pogon 4x4 / 4WDASR regulacija zdrsa pogonskih kolesETS elektronski sistem za oprijem kolesšportno podvozje                       ,        Varnost:    ,                                    6 x zračna vreča / Airbagsenzor za dežxenon žarometiLED žarometiprednje (dnevne) LED lučizadnje LED lučitretja zavorna lučnaprava za pranje žarometovalarmna napravablokada motorjanadzor zračnega tlaka v pnevmatikah                        ,        Notranjost:    ,                        štev. sedežev: 5        ambientna osvetlitev notranjostiusnje            karbonski dodatki v notranjostikrom dodatki v notranjostikomfortni sedežielektrično nastavljiv sedežsedeži: gretje spredajsredinski naslon za roko12V vtičnica                       ,        Udobje:    ,                        steklena pomična streha + električni pomikklimatska naprava: avtomatskaklimatska naprava: 2 conskazatemnjena / tonirana steklaelektrični pomik prednjih stekelelektrični pomik prednjih in zadnjih stekelzunanja ogledala: el. nastavljivazunanja ogledala: el. zložljivacentralno zaklepanjecentralno zaklepanje + daljinsko upravljanjevolan: nastavljiv po višinivolan: nastavljiv po globiniservo volanvolan: multifunkcijskivolan: športnivolanski obroč oblečen v usnjetempomataktivni tempomatel. parkirna zavora                    ,        Multimedia:    ,                                    avtoradio                                    avtoradio / CD                                Hi-Fi ozvočenje:BOSE                    MP3 predvajalnikUSB priključek (iPod, HD, ...)potovalni računalniknavigacijski sistemTouch screen                    ,        Uporabnost:    ,                        dvojno dno prtljažnika                    ,        Stanje:    ,                                    servisna knjiga  / potrjena                                vozilo ni bilo karamboliranovozilo je bilo garažirano2. lastnik                    ",    13.900 €    ,            Beno                                            TELEFON:                                                        ,Cadillac ATS ,https://www.avto.net/Ads/details.asp?id=16469974&display=Cadillac%20ATS%20AG%205RX%20TURBO%20AWD
5,"                            ,      Starost:              rabljeno      ,      Prva registracija:                   2005 / 7                        ,    Prevoženi km:            282000       ,      Tehnični pregled:                   2021 / 7            ,      Motor:              132 kW             (179 KM),  2698  ccm      ,      Gorivo:              diesel motor      ,      Menjalnik:              ročni menjalnik (6 pr.)      ,      Oblika:              karavan      ,      Št.vrat:              5 vr.      ,      Barva:              zlata metalik      ,      Notranjost:              črna / blago      ,      Kraj ogleda:              8331 Suhor      ,                            ,            Kombinirana vožnja:                        7 litrov / 100 km                                    ,            Izvenmestna vožnja:                        5,4 litrov / 100 km                                    ,            Mestna vožnja:                        9,8 litrov / 100 km                                    ,            Emisijski razred:                        Euro 4                    ,            Emisija CO2:                        187 g / km                                    ,        Podvozje:    ,                                            lahka - ALU platišča:Alu pl.-16 Audi 7-kr.-dinam.-desi.225/55                            ABS zavorni sistem                        BAS pomoč pri zaviranju                                   ,        Varnost:    ,                                    4 x zračna vreča / Airbagxenon žarometibi-xenon žarometiLED žarometimeglenkealarmna napravablokada motorjakodno varovan vžig motorja                        ,        Notranjost:    ,                        štev. sedežev: 5        ALU dodatki v notranjostišportni sedežipaket za kadilce                       ,        Udobje:    ,                        klimatska napravaklimatska naprava: avtomatskazatemnjena / tonirana steklaelektrični pomik prednjih stekelelektrični pomik prednjih in zadnjih stekelzunanja ogledala: el. nastavljivazunanja ogledala: ogrevanjecentralno zaklepanjecentralno zaklepanje + daljinsko upravljanjevolan: nastavljiv po višiniservo volanvolan: športnivolanski obroč oblečen v usnjetempomatsenčni rolo za zadnje steklo                    ,        Uporabnost:    ,                        zadnja klop - deljiva 1/3 - 2/3vreča za smučistrešne sanipripomoček za parkiranje PDC/Parktronicvlečna kljuka                    ,        Stanje:    ,                                            ",    2.950 €    ,                                   TELEFON:                                                        ,Audi A6 ,https://www.avto.net/Ads/details.asp?id=16475323&display=Audi%20A6%20Avant%202.7%20V6%20TDI%20%20S-LINE
6,"                            ,      Starost:              rabljeno      ,      Prva registracija:                   2010 / 6                        ,      Leto proizvodnje:                   2010            ,    Prevoženi km:            290000       ,      Motor:              105 kW             (143 KM),  1968  ccm      ,      Gorivo:              diesel motor      ,      Menjalnik:              ročni menjalnik (6 pr.)      ,      Oblika:              karavan      ,      Št.vrat:              5 vr.      ,      Barva:                    ,      Notranjost:               /       ,      Interna številka:                    ,      Kraj ogleda:              ,       ,                     Vprašajte prodajalca za VIN in pridobite CARFAX poročilo o zgodovini vozila.                                 ,                            ,            Kombinirana vožnja:                        6,2 litrov / 100 km                                    ,            Izvenmestna vožnja:                        5,2 litrov / 100 km                                    ,            Mestna vožnja:                        7,9 litrov / 100 km                                    ,            Emisijski razred:                        Euro 5                    ,            Emisija CO2:                        162 g / km                                    ,        Podvozje:    ,                                        ABS zavorni sistem                        BAS pomoč pri zaviranju            samodejna zapora diferenciala (ASD / EDS ...)ESP elektronski program stabilnostištirikolesni pogon 4x4 / 4WDASR regulacija zdrsa pogonskih koles                       ,        Varnost:    ,                                    6 x zračna vreča / Airbagxenon žarometikodno varovan vžig motorja                        ,        Notranjost:    ,                        štev. sedežev: 5        sedeži: nastavitev po višinisredinski naslon za roko                       ,        Udobje:    ,                        klimatska napravaklimatska naprava: avtomatskaklimatska naprava: 2 conskaklimatska naprava: 3 conskazatemnjena / tonirana steklaelektrični pomik prednjih stekelelektrični pomik prednjih in zadnjih stekelzunanja ogledala: el. nastavljivazunanja ogledala: ogrevanjecentralno zaklepanjecentralno zaklepanje + daljinsko upravljanjevolan: nastavljiv po višiniservo volanvolan: multifunkcijskivolanski obroč oblečen v usnjetempomat                    ,        Multimedia:    ,                                    avtoradio:Radio CD Symphony, Mp3                                    avtoradio / CD                                Hi-Fi ozvočenje                    CD izmenjevalnik / strežnikMP3 predvajalnikDVD predvajalnikpredpriprava za mobilni telefonavtotelefonpotovalni računalnikkomunikacijski paketnavigacijski sistemnavigacijski sistem + TV                    ,        Uporabnost:    ,                        zadnja klop - deljiva 1/3 - 2/3rolo prtljažnega prostorapripomoček za parkiranje PDC/Parktronicpomoč pri parkiranju: parkirna kamerapomoč pri parkiranju: prednji senzorjipomoč pri parkiranju: zadnji senzorji                    ,        Stanje:    ,                                            ",    5.500 €    ,"              AVTO ALI NURSAIN, Esmeralda Hadža, s.p.         Radizel         Orehova vas                                                                                                ",Audi A4 ,https://www.avto.net/Ads/details.asp?id=16475362&display=Audi%20A4%20Avant%20quattro%202.0%20TDI%20DPF%20Business
7,"                            ,      Starost:              novo      ,    Prevoženi km:            7       ,      Tehnični pregled:                   2025 / 3            ,      Motor:              6 kW             (8 KM),  479  ccm      ,      Gorivo:              diesel motor      ,      Menjalnik:              avtomatski menjalnik      ,      Oblika:              coupe      ,      Št.vrat:              3 vr.      ,      Barva:              modra metalik      ,      Notranjost:              črna / umetno usnje      ,      Interna številka:                    ,      Kraj ogleda:              ,       ,        Podvozje:    ,                                            lahka - ALU platišča:15 col 155 60 R15                                       ,        Varnost:    ,                                    prednje (dnevne) LED luči                        ,        Notranjost:    ,                        štev. sedežev: 2        usnje             (umetno usnje)športni sedeži                       ,        Udobje:    ,                        električni pomik prednjih stekelcentralno zaklepanje + daljinsko upravljanjeelektrični paket                    ,        Multimedia:    ,                                    avtoradio                        MP3 predvajalnikpotovalni računalnikkomunikacijski paketBluetooth vmesnikTouch screen                    ,        Uporabnost:    ,                        pomoč pri parkiranju: parkirna kamerapomoč pri parkiranju: zadnji senzorjivzvratna kamera                    ,        Stanje:    ,                                    servisna knjiga                     vozilo ni bilo karamboliranovozilo je bilo garažiranoslovensko poreklonavodila za uporabo v SLO jezikuvozilo je novo                    ",    12.490 €    ,              JORAS CENTER d.o.o.          Ob železnici 7         Ribnica                                                                                                                                                                                                                     ,Aixam - ,https://www.avto.net/Ads/details.asp?id=16164417&display=Aixam%20-%20CITY%20SPORT
8,"                            ,      Starost:              rabljeno / ima garancijo      ,      Prva registracija:                   2012 / 5                        ,      Leto proizvodnje:                   2012            ,    Prevoženi km:            259000       ,      Tehnični pregled:                   2022 / 5            ,      Motor:              130 kW             (177 KM),  1968  ccm      ,      Gorivo:              diesel motor      ,      Menjalnik:              ročni menjalnik (6 pr.)      ,      Oblika:              karavan      ,      Št.vrat:              5 vr.      ,      Barva:              bela      ,      Notranjost:              črna / velur      ,      Interna številka:                    ,      Kraj ogleda:              ,       ,                     Vprašajte prodajalca za VIN in pridobite CARFAX poročilo o zgodovini vozila.                                 ,                            ,            Kombinirana vožnja:                        ni podatka                                ,            Izvenmestna vožnja:                        ni podatka                                ,            Mestna vožnja:                        ni podatka                                ,            Emisijski razred:                        ni podatka                                ,            Emisija CO2:                        ni podatka                                ,        Podvozje:    ,                                            lahka - ALU platišča:ORGINAL 17 COL DOPLAIČO 20 COL                            ABS zavorni sistem            samodejna zapora diferenciala (ASD / EDS ...)ESP elektronski program stabilnostiASR regulacija zdrsa pogonskih koles                       ,        Varnost:    ,                                    6 x zračna vreča / Airbagsenzor za dežmeglenketretja zavorna lučalarmna napravablokada motorjakodno varovan vžig motorjanadzor zračnega tlaka v pnevmatikahrezervno kolo normalnih dimenzij                        ,        Notranjost:    ,                        štev. sedežev: 5        ALU dodatki v notranjostišportni sedežisedeži: nastavitev po višinielektrično nastavljiv sedežsedeži: gretje spredajsredinski naslon za rokopaket za kadilce                       ,        Udobje:    ,                        klimatska naprava: avtomatskaklimatska naprava: 2 conskazatemnjena / tonirana steklaelektrični pomik prednjih stekelelektrični pomik prednjih in zadnjih stekelzunanja ogledala: el. nastavljivazunanja ogledala: ogrevanjezunanja ogledala: el. zložljivacentralno zaklepanjecentralno zaklepanje + daljinsko upravljanjeelektrični paketvolan: nastavljiv po višinivolan: nastavljiv po globiniservo volanvolan: multifunkcijskivolan: športnivolanski obroč oblečen v usnjetempomatsistem Start-StopKeyless Goel. parkirna zavora                    ,        Multimedia:    ,                                    avtoradio                                    avtoradio / CD                    CD izmenjevalnik / strežnikMP3 predvajalnikDVD predvajalnikTV sprejemnik / tunerpotovalni računalnikkomunikacijski paketnavigacijski sistemnavigacijski sistem + TVBluetooth vmesnik                    ,        Uporabnost:    ,                        zadnja klop - deljiva 1/3 - 2/3vreča za smučistrešne sanipripomoček za parkiranje PDC/Parktronicpomoč pri parkiranju: prednji senzorjipomoč pri parkiranju: zadnji senzorji                    ,        Stanje:    ,                                    servisna knjiga  / potrjena                                vozilo ni bilo karamboliranovozilo je bilo garažiranonavodila za uporabo v SLO jeziku                    ",    11.950 €    ,"              AVTO CENTER MARIBORSKA, odkup in prodaja vozil, d.o.o.         Mariborska cesta 91         Celje                                                                                                     ",Audi A6 ,https://www.avto.net/Ads/details.asp?id=16475753&display=Audi%20A6%202.0TDI-SPORT-PAKET-NAVIGACIJA-LIZING-ZA-TUJCE-PDC
9,"                            ,      Starost:              novo      ,    Prevoženi km:                   ,      Motor:              6 kW             (8 KM)      ,      Gorivo:              diesel motor      ,      Menjalnik:              avtomatski menjalnik      ,      Oblika:              pick-up      ,      Št.vrat:              2 vr.      ,      Barva:                    ,      Notranjost:               /       ,      Interna številka:                    ,  Status zaloge:                  še NI NA ZALOGI, predviden rok dobave do 14 dni             ,        Stanje:    ,                        vozilo je novo                    ",    13.099 €    ,              Gorazd Roglič s.p.         BRNICA 6         HRASTNIK                                                                               ,Aixam - ,https://www.avto.net/Ads/details.asp?id=13620885&display=Aixam%20-%20D-TRUCK%20KESONAR%20-%20KREDIT
